sample,doc_filter,proportion_depth,depth,het,depth_category
mwr_TG0449,GL2-3x_filter,0.10,1.13,0.00003744,medium
mwr_TG0449,GL2-3x_filter,0.20,2.26,0.00005632,medium
mwr_TG0449,GL2-3x_filter,0.30,3.39,0.00007330,medium
mwr_TG0449,GL2-3x_filter,0.50,5.65,0.00009945,medium
mwr_TG0449,GL2-3x_filter,0.75,8.48,0.00011908,medium
mwr_TG0449,GL2-3x_filter,1.00,11.30,0.00013056,medium
mwr_TG0449,GL2-no_filter,0.10,1.13,0.00000404,medium
mwr_TG0449,GL2-no_filter,0.20,2.26,0.00004369,medium
mwr_TG0449,GL2-no_filter,0.30,3.39,0.00006531,medium
mwr_TG0449,GL2-no_filter,0.50,5.65,0.00009554,medium
mwr_TG0449,GL2-no_filter,0.75,8.48,0.00011774,medium
mwr_TG0449,GL2-no_filter,1.00,11.30,0.00012987,medium
mwr_TG0449,GL2-5x_filter,0.10,1.13,0.00014458,medium
mwr_TG0449,GL2-5x_filter,0.20,2.26,0.00010328,medium
mwr_TG0449,GL2-5x_filter,0.30,3.39,0.00010277,medium
mwr_TG0449,GL2-5x_filter,0.50,5.65,0.00011364,medium
mwr_TG0449,GL2-5x_filter,0.75,8.48,0.00012557,medium
mwr_TG0449,GL2-5x_filter,1.00,11.30,0.00013415,medium
mwr_TG0452,GL2-3x_filter,0.10,0.71,0.00055433,medium
mwr_TG0452,GL2-3x_filter,0.20,1.42,0.00031788,medium
mwr_TG0452,GL2-3x_filter,0.30,2.12,0.00023625,medium
mwr_TG0452,GL2-3x_filter,0.50,3.54,0.00019408,medium
mwr_TG0452,GL2-3x_filter,0.75,5.31,0.00019226,medium
mwr_TG0452,GL2-3x_filter,1.00,7.08,0.00020383,medium
mwr_TG0452,GL2-no_filter,0.10,0.71,0.00025452,medium
mwr_TG0452,GL2-no_filter,0.20,1.42,0.00016693,medium
mwr_TG0452,GL2-no_filter,0.30,2.12,0.00015004,medium
mwr_TG0452,GL2-no_filter,0.50,3.54,0.00015442,medium
mwr_TG0452,GL2-no_filter,0.75,5.31,0.00017283,medium
mwr_TG0452,GL2-no_filter,1.00,7.08,0.00019360,medium
mwr_TG0452,GL2-5x_filter,0.10,0.71,0.00087016,medium
mwr_TG0452,GL2-5x_filter,0.20,1.42,0.00063464,medium
mwr_TG0452,GL2-5x_filter,0.30,2.12,0.00052017,medium
