sample,doc_filter,proportion_depth,depth,het,diff
mwr_TG0453,ds,0.10,1.70,0.00006094,-0.00014688
mwr_TG0453,ds,0.20,3.40,0.00010258,-0.00010524
mwr_TG0453,ds,0.30,5.09,0.00013496,-0.00007286
mwr_TG0453,ds,0.50,8.49,0.00017443,-0.00003338
mwr_TG0453,ds,0.75,12.74,0.00019744,-0.00001037
mwr_TG0453,original,1.00,16.98,0.00020781,0.00000000
mwr_TG0453,noFilter_ds,0.10,1.70,0.00003462,-0.00017319
mwr_TG0453,noFilter_ds,0.20,3.40,0.00009095,-0.00011687
mwr_TG0453,noFilter_ds,0.30,5.09,0.00012935,-0.00007846
mwr_TG0453,noFilter_ds,0.50,8.49,0.00017318,-0.00003463
mwr_TG0453,noFilter_ds,0.75,12.74,0.00019702,-0.00001079
mwr_TG0465,ds,0.10,1.71,0.00006332,-0.00015126
mwr_TG0465,ds,0.20,3.43,0.00010320,-0.00011138
mwr_TG0465,ds,0.30,5.14,0.00013650,-0.00007807
mwr_TG0465,ds,0.50,8.57,0.00017869,-0.00003588
mwr_TG0465,ds,0.75,12.85,0.00020352,-0.00001105
mwr_TG0465,original,1.00,17.13,0.00021458,0.00000000
mwr_TG0465,noFilter_ds,0.10,1.71,0.00003598,-0.00017860
mwr_TG0465,noFilter_ds,0.20,3.43,0.00009257,-0.00012201
mwr_TG0465,noFilter_ds,0.30,5.14,0.00013203,-0.00008255
mwr_TG0465,noFilter_ds,0.50,8.57,0.00017810,-0.00003648
mwr_TG0465,noFilter_ds,0.75,12.85,0.00020344,-0.00001113
mwr_TGF03,ds,0.10,1.79,0.00004157,-0.00013336
mwr_TGF03,ds,0.20,3.57,0.00007766,-0.00009728
mwr_TGF03,ds,0.30,5.36,0.00010733,-0.00006761
mwr_TGF03,ds,0.50,8.93,0.00014416,-0.00003078
mwr_TGF03,ds,0.75,13.40,0.00016523,-0.00000971
mwr_TGF03,original,1.00,17.86,0.00017494,0.00000000
mwr_TGF03,noFilter_ds,0.10,1.79,0.00002040,-0.00015453
mwr_TGF03,noFilter_ds,0.20,3.57,0.00006752,-0.00010742
mwr_TGF03,noFilter_ds,0.30,5.36,0.00010205,-0.00007289
mwr_TGF03,noFilter_ds,0.50,8.93,0.00014301,-0.00003193
mwr_TGF03,noFilter_ds,0.75,13.40,0.00016481,-0.00001013
mwr_TGF15,ds,0.10,1.86,0.00006062,-0.00014054
mwr_TGF15,ds,0.20,3.72,0.00009959,-0.00010158
mwr_TGF15,ds,0.30,5.57,0.00013115,-0.00007002
mwr_TGF15,ds,0.50,9.29,0.00017004,-0.00003113
mwr_TGF15,ds,0.75,13.94,0.00019187,-0.00000930
mwr_TGF15,original,1.00,18.58,0.00020117,0.00000000
mwr_TGF15,noFilter_ds,0.10,1.86,0.00003695,-0.00016422
mwr_TGF15,noFilter_ds,0.20,3.72,0.00008974,-0.00011143
mwr_TGF15,noFilter_ds,0.30,5.57,0.00012670,-0.00007447
mwr_TGF15,noFilter_ds,0.50,9.29,0.00016932,-0.00003185
mwr_TGF15,noFilter_ds,0.75,13.94,0.00019167,-0.00000950
wr_P9109_104,ds,0.10,2.05,0.00002522,-0.00006896
wr_P9109_104,ds,0.20,4.10,0.00004370,-0.00005048
wr_P9109_104,ds,0.30,6.15,0.00006015,-0.00003403
wr_P9109_104,ds,0.50,10.25,0.00007989,-0.00001429
wr_P9109_104,ds,0.75,15.37,0.00009048,-0.00000370
wr_P9109_104,original,1.00,20.49,0.00009418,0.00000000
wr_P9109_104,noFilter_ds,0.10,2.05,0.00001692,-0.00007726
wr_P9109_104,noFilter_ds,0.20,4.10,0.00004055,-0.00005363
wr_P9109_104,noFilter_ds,0.30,6.15,0.00005881,-0.00003537
wr_P9109_104,noFilter_ds,0.50,10.25,0.00007978,-0.00001440
wr_P9109_104,noFilter_ds,0.75,15.37,0.00009018,-0.00000400
wr_P9109_107,ds,0.10,2.24,0.00002645,-0.00006717
wr_P9109_107,ds,0.20,4.48,0.00004638,-0.00004724
wr_P9109_107,ds,0.30,6.72,0.00006306,-0.00003056
wr_P9109_107,ds,0.50,11.21,0.00008193,-0.00001169
wr_P9109_107,ds,0.75,16.81,0.00009054,-0.00000309
wr_P9109_107,original,1.00,22.41,0.00009362,0.00000000
wr_P9109_107,noFilter_ds,0.10,2.24,0.00001879,-0.00007483
wr_P9109_107,noFilter_ds,0.20,4.48,0.00004354,-0.00005008
wr_P9109_107,noFilter_ds,0.30,6.72,0.00006223,-0.00003139
wr_P9109_107,noFilter_ds,0.50,11.21,0.00008186,-0.00001176
wr_P9109_107,noFilter_ds,0.75,16.81,0.00009065,-0.00000298
wr_P9109_109,ds,0.10,2.08,0.00002879,-0.00006633
wr_P9109_109,ds,0.20,4.17,0.00004729,-0.00004783
wr_P9109_109,ds,0.30,6.25,0.00006302,-0.00003210
wr_P9109_109,ds,0.50,10.42,0.00008176,-0.00001337
wr_P9109_109,ds,0.75,15.63,0.00009163,-0.00000349
wr_P9109_109,original,1.00,20.84,0.00009512,0.00000000
wr_P9109_109,noFilter_ds,0.10,2.08,0.00002028,-0.00007484
wr_P9109_109,noFilter_ds,0.20,4.17,0.00004453,-0.00005059
wr_P9109_109,noFilter_ds,0.30,6.25,0.00006185,-0.00003327
wr_P9109_109,noFilter_ds,0.50,10.42,0.00008166,-0.00001346
wr_P9109_109,noFilter_ds,0.75,15.63,0.00009132,-0.00000380
