sample,doc_filter,het,proportion_depth,depth,proportion_het,diff
mwr_TG0449,filter,0.00003744,0.10,1.13,0.2867346314,0.7132653686
mwr_TG0449,filter,0.00005632,0.20,2.26,0.4313600086,0.5686399914
mwr_TG0449,filter,0.00007330,0.30,3.39,0.5614623386,0.4385376614
mwr_TG0449,filter,0.00009945,0.50,5.65,0.7617097382,0.2382902618
mwr_TG0449,filter,0.00011908,0.75,8.48,0.9121003692,0.0878996308
mwr_TG0449,filter,0.00013056,1.00,11.30,1,0
mwr_TG0449,no_filter,0.00000404,0.10,1.13,0.0310803111,0.9689196889
mwr_TG0449,no_filter,0.00004369,0.20,2.26,0.3364094864,0.6635905136
mwr_TG0449,no_filter,0.00006531,0.30,3.39,0.5028782629,0.4971217371
mwr_TG0449,no_filter,0.00009554,0.50,5.65,0.7356263956,0.2643736044
mwr_TG0449,no_filter,0.00011774,0.75,8.48,0.9065912066,0.0934087934
mwr_TG0449,no_filter,0.00012987,1.00,11.30,1,0
mwr_TG0452,filter,0.00055433,0.10,0.71,2.7196222249,-1.7196222249
mwr_TG0452,filter,0.00031788,0.20,1.42,1.5595829756,-0.5595829756
mwr_TG0452,filter,0.00023625,0.30,2.12,1.159102171,-0.159102171
mwr_TG0452,filter,0.00019408,0.50,3.54,0.9521893781,0.0478106219
mwr_TG0452,filter,0.00019226,0.75,5.31,0.9432797743,0.0567202257
mwr_TG0452,filter,0.00020383,1.00,7.08,1,0
mwr_TG0452,no_filter,0.00025452,0.10,0.71,1.3146900826,-0.3146900826
mwr_TG0452,no_filter,0.00016693,0.20,1.42,0.8622520661,0.1377479339
mwr_TG0452,no_filter,0.00015004,0.30,2.12,0.7750051653,0.2249948347
mwr_TG0452,no_filter,0.00015442,0.50,3.54,0.7975981405,0.2024018595
mwr_TG0452,no_filter,0.00017283,0.75,5.31,0.8927272727,0.1072727273
mwr_TG0452,no_filter,0.00019360,1.00,7.08,1,0
mwr_TGF04,filter,0.00010243,0.10,0.94,0.7241998544,0.2758001456
mwr_TGF04,filter,0.00008676,0.20,1.88,0.6134075211,0.3865924789
mwr_TGF04,filter,0.00008874,0.30,2.81,0.627384176,0.372615824
mwr_TGF04,filter,0.00010355,0.50,4.69,0.7321182384,0.2678817616
mwr_TGF04,filter,0.00012381,0.75,7.04,0.8753208006,0.1246791994
mwr_TGF04,filter,0.00014144,1.00,9.38,1,0
mwr_TGF04,no_filter,0.00003858,0.10,0.94,0.2776662349,0.7223337651
mwr_TGF04,no_filter,0.00004974,0.20,1.88,0.3579548071,0.6420451929
mwr_TGF04,no_filter,0.00006469,0.30,2.81,0.4655001439,0.5344998561
mwr_TGF04,no_filter,0.00009191,0.50,4.69,0.6614291883,0.3385708117
mwr_TGF04,no_filter,0.00011827,0.75,7.04,0.8511010363,0.1488989637
mwr_TGF04,no_filter,0.00013896,1.00,9.38,1,0
wr_SRR5852738,filter,0.00012835,0.10,0.91,0.9405117833,0.0594882167
wr_SRR5852738,filter,0.00011837,0.20,1.82,0.8673716145,0.1326283855
wr_SRR5852738,filter,0.00012048,0.30,2.72,0.8828482237,0.1171517763
wr_SRR5852738,filter,0.00012637,0.50,4.54,0.9260464298,0.0739535702
wr_SRR5852738,filter,0.00013194,0.75,6.81,0.9668777113,0.0331222887
wr_SRR5852738,filter,0.00013646,1.00,9.08,1,0
wr_SRR5852738,no_filter,0.00020458,0.10,0.91,1.4631955371,-0.4631955371
wr_SRR5852738,no_filter,0.00007550,0.20,1.82,0.539979259,0.460020741
wr_SRR5852738,no_filter,0.00017396,0.30,2.72,1.2441710771,-0.2441710771
wr_SRR5852738,no_filter,0.00014579,0.50,4.54,1.0426762981,-0.0426762981
wr_SRR5852738,no_filter,0.00013984,0.75,6.81,1.0001072808,-0.0001072808
wr_SRR5852738,no_filter,0.00013982,1.00,9.08,1,0
wr_SRR5852742,filter,0.00018856,0.10,0.99,0.9413600124,0.0586399876
wr_SRR5852742,filter,0.00017961,0.20,1.97,0.8966835907,0.1033164093
wr_SRR5852742,filter,0.00017961,0.30,2.96,0.896673606,0.103326394
wr_SRR5852742,filter,0.00018694,0.50,4.93,0.9332624422,0.0667375578
wr_SRR5852742,filter,0.00019433,0.75,7.40,0.9701707878,0.0298292122
wr_SRR5852742,filter,0.00020031,1.00,9.86,1,0
wr_SRR5852742,no_filter,0.00005611,0.10,0.99,0.2755663065,0.7244336935
wr_SRR5852742,no_filter,0.00024443,0.20,1.97,1.200540275,-0.200540275
wr_SRR5852742,no_filter,0.00023136,0.30,2.96,1.1363261297,-0.1363261297
wr_SRR5852742,no_filter,0.00020390,0.50,4.93,1.0014734774,-0.0014734774
wr_SRR5852742,no_filter,0.00020088,0.75,7.40,0.9866601179,0.0133398821
wr_SRR5852742,no_filter,0.00020360,1.00,9.86,1,0
wr_SRR5852746,filter,0.00016992,0.10,0.85,0.8295108377,0.1704891623
wr_SRR5852746,filter,0.00017388,0.20,1.70,0.8488527631,0.1511472369
wr_SRR5852746,filter,0.00017731,0.30,2.55,0.8655780121,0.1344219879
wr_SRR5852746,filter,0.00018771,0.50,4.25,0.9163639914,0.0836360086
wr_SRR5852746,filter,0.00019724,0.75,6.38,0.9629027534,0.0370972466
wr_SRR5852746,filter,0.00020484,1.00,8.50,1,0
wr_SRR5852746,no_filter,0.00027922,0.10,0.85,1.3314434219,-0.3314434219
wr_SRR5852746,no_filter,0.00020447,0.20,1.70,0.9749988079,0.0250011921
wr_SRR5852746,no_filter,0.00023191,0.30,2.55,1.1058461685,-0.1058461685
wr_SRR5852746,no_filter,0.00021001,0.50,4.25,1.00142101,-0.00142101
wr_SRR5852746,no_filter,0.00020676,0.75,6.38,0.985932955,0.014067045
wr_SRR5852746,no_filter,0.00020971,1.00,8.50,1,0
