sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5’CtoT_damage,gw_het_GL1_raw,gw_het_GL1_corrected,exon_het_GL1_raw,exon_het_GL1_corrected,FRoH,comments,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,gw_het_GL2_3x_ErTv
ZA1869.1,mwr_TG0449,Natural_History_Museum_Praha,PGU-37572,unpublished,simum,Pre-bottleneck,SWR1,NA,F,South_Africa,NA,1869,BGIseq-500,Single_end_100_bp,760368932,584022087,0.7681,0.2468,439905054,0.5785,11.3,0.0159,0.000112,0.00013,0.000077,0.000091,0.2555,,0.00012987,0.00013056,0.00013415,0.00013042
CD-un.1,mwr_TG0450,Royal_Museum_of_Central_Africa_Tervuren,CSC_RG3881,unpublished,cottoni,Pre-bottleneck,NWR1,NA,M,DRC,Faradje,NA,BGIseq-500,Single_end_100_bp,797010345,159295757,0.1999,0.4067,94504610,0.1186,2.84,0.0284,0.00005,0.000455,0.000036,0.000309,0.8814,related_CD-un.2_outlier_FrohAngsd,0.0001253,0.00017182,0.00034522,0.00017096
CD1912.1,mwr_TG0451,American_Museum_Natural_History,CSC_Z_51861,unpublished,cottoni,Pre-bottleneck,NWR1,F,F,DRC,Faradje,1912,BGIseq-500,Single_end_100_bp,790975295,337019616,0.4261,0.5166,162912615,0.206,4.85,0.0261,0.000082,0.000218,0.000036,0.000099,0.3463,,0.00015921,0.00018862,0.00032295,0.00018728
CD1912.2,mwr_TG0452,American_Museum_Natural_History,CSC_Z_51856,unpublished,cottoni,Pre-bottleneck,NWR1,NA,F,DRC,Vankerchovenville,1912,BGIseq-500,Single_end_100_bp,789271480,500221011,0.6338,0.5326,233786629,0.2962,7.08,0.0276,0.000122,0.000202,0.000065,0.00011,0.1222,,0.0001936,0.00020383,0.00025049,0.00020247
CD1911.1,mwr_TG0453,American_Museum_Natural_History,CSC_Z_51879_51897,unpublished,cottoni,Pre-bottleneck,NWR1,F,M,DRC,Faradje,1911,BGIseq-500,Single_end_100_bp,734666100,629072425,0.8563,0.2316,483360897,0.6579,16.98,0.02,0.000193,0.000195,0.000121,0.000122,0.2148,,0.00020754,0.00020781,0.00020857,0.00020768
CD1913.1,mwr_TG0454,American_Museum_Natural_History,CSC_Z_51860,unpublished,cottoni,Pre-bottleneck,NWR1,M,M,DRC,Faradje,1913,BGIseq-500,Single_end_100_bp,712628088,517869081,0.7267,0.2518,387485297,0.5437,9.92,0.0337,0.000161,0.000201,0.000111,0.000141,0.167,,0.00018836,0.00019078,0.00020005,0.00019064
CD1912.3,mwr_TG0455,American_Museum_Natural_History,CSC_Z_51858,unpublished,cottoni,Pre-bottleneck,NWR1,M,M,DRC,Faradje,1912,BGIseq-500,Single_end_100_bp,812194932,633417574,0.7799,0.2174,495706137,0.6103,14.79,0.021,0.000199,0.000206,0.000121,0.000126,0.1473,,0.00021613,0.00021632,0.00021722,0.00021614
CD1911.2,mwr_TG0456,American_Museum_Natural_History,CSC_Z_51855,unpublished,cottoni,Pre-bottleneck,NWR1,M,M,DRC,Faradje,1911,BGIseq-500,Single_end_100_bp,786298539,181668497,0.231,0.2904,128916424,0.164,3.39,0.0353,0.000046,0.000242,0.000033,0.000175,0.8218,outlier_FrohAngsd,0.00009134,0.00010829,0.00016431,0.00010764
CD-un.2,mwr_TG0458,Royal_Museum_of_Central_Africa_Tervuren,CSC_RG3880,unpublished,cottoni,Pre-bottleneck,NWR1,NA,M,DRC,NA,NA,BGIseq-500,Single_end_100_bp,770376546,605242348,0.7856,0.2401,459929143,0.597,13.09,0.0288,0.000187,0.000202,0.000116,0.000126,0.1399,,0.00020742,0.00020797,0.00021046,0.00020781
SD1905.1,mwr_TG0460,Powell_Cotton_Museum,40,unpublished,cottoni,Pre-bottleneck,NWR1,F,F,Sudan,By_Kero_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,796257179,626488519,0.7868,0.2339,479957310,0.6028,16.25,0.0244,0.000186,0.000189,0.00011,0.000112,0.2211,,0.00020155,0.00020188,0.00020184,0.00020172
SD1905.2,mwr_TG0461,Powell_Cotton_Museum,34,unpublished,cottoni,Pre-bottleneck,NWR1,M,M,Sudan,By_Kero_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,784968111,667248843,0.85,0.6316,245806682,0.3131,7.42,0.0601,0.000119,0.000189,0.000058,0.000094,0.246,,0.00015737,0.00015869,0.00016522,0.00015839
UG1905.1,mwr_TG0462,Powell_Cotton_Museum,124,unpublished,cottoni,Pre-bottleneck,NWR1,M,M,Uganda,Ouneri_Nr_Wadelai_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,731749543,592900574,0.8103,0.3335,395164915,0.54,13.83,0.0317,0.000172,0.000183,0.000093,0.000099,0.2378,,0.00019243,0.00019234,0.00019273,0.00019206
SD1905.3,mwr_TG0463,Powell_Cotton_Museum,20,unpublished,cottoni,Pre-bottleneck,NWR1,M,Non_discernable,Sudan,Fariala_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,772010465,620352748,0.8036,0.2412,470709226,0.6097,16.82,0.023,0.000192,0.000195,0.000098,0.000099,0.1817,,0.00020895,0.00020908,0.00020982,0.00020885
