sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5’CtoT_damage,gw_het_GL1_raw,gw_het_GL1_corrected,exon_het_GL1_raw,exon_het_GL1_corrected,FRoH,relatedness,filters,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,ErTv,gw_het_GL2_3x_ErTv,gw_het_GL2_5x_ErTv,F_ngsF,exon_het_GL2_5x,exon_het_GL2_5x_ErTv,Froh_JH767723,Froh_88filt,Froh,ave_RoH_len,max_RoH_len,min_RoH_len,GW_het_DS,GW_het_DS_corrected
ZA1869.1,mwr_TG0449,Natural_History_Museum_Praha,PGU-37572,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,South Africa,NA,1869,BGIseq-500,Single_end_100_bp,760368932,584022087,0.7681,0.2468,439905054,0.5785,11.3,0.0159,0.000112,0.00013,0.000077,0.000091,0.2555,,,0.00012987,0.00013056,0.00013415,0.00103948,0.00013042,0.00013401,0.094689,0.00009057,0.00009048,0.1822,0.35311,0.244601,281919,2124742,10206,0.00008837,8.8274444998476E-05
CD-un.1,mwr_TG0450,Royal_Museum_of_Central_Africa_Tervuren,CSC_RG3881,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,M,DRC,Faradje,NA,BGIseq-500,Single_end_100_bp,797010345,159295757,0.1999,0.4067,94504610,0.1186,2.84,0.0284,0.00005,0.000455,0.000036,0.000309,0.8814,Related to CD-un.2,excluded from Gwhet and Froh comparisons,0.0001253,0.00017182,0.00034522,0.00502398,0.00017096,0.00034349,NA,0.00029854,0.00029704,0,NA,0.000304,185695,185695,185695,NA,NA
CD1912.1,mwr_TG0451,American_Museum_Natural_History,CSC_Z_51861,unpublished,cottoni,Pre-bottleneck,NWRpre,F,F,DRC,Faradje,1912,BGIseq-500,Single_end_100_bp,790975295,337019616,0.4261,0.5166,162912615,0.206,4.85,0.0261,0.000082,0.000218,0.000036,0.000099,0.3463,,excluded from Gwhet and Froh comparisons,0.00015921,0.00018862,0.00032295,0.00711305,0.00018728,0.00032065,NA,0.00013597,0.000135,0.0184,NA,0.024551,145604,566181,26548,NA,NA
CD1912.2,mwr_TG0452,American_Museum_Natural_History,CSC_Z_51856,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,F,DRC,Vankerchovenville,1912,BGIseq-500,Single_end_100_bp,789271480,500221011,0.6338,0.5326,233786629,0.2962,7.08,0.0276,0.000122,0.000202,0.000065,0.00011,0.1222,,excluded from Froh comparison,0.0001936,0.00020383,0.00025049,0.00666686,0.00020247,0.00024882,0.000726,0.00012714,0.00012629,0.0246,0.3348,0.026757,62385.1,210849,6453,0.00016924,0.0001681157
CD1911.1,mwr_TG0453,American_Museum_Natural_History,CSC_Z_51879_51897,unpublished,cottoni,Pre-bottleneck,NWRpre,F,M,DRC,Faradje,1911,BGIseq-500,Single_end_100_bp,734666100,629072425,0.8563,0.2316,483360897,0.6579,16.98,0.02,0.000193,0.000195,0.000121,0.000122,0.2148,,,0.00020754,0.00020781,0.00020857,0.00063365,0.00020768,0.00020844,0.038492,0.00013307,0.00013299,0.5026,0.66624,0.449737,244854,4078183,2806,0.00012755,0.0001274682
CD1913.1,mwr_TG0454,American_Museum_Natural_History,CSC_Z_51860,unpublished,cottoni,Pre-bottleneck,NWRpre,M,M,DRC,Faradje,1913,BGIseq-500,Single_end_100_bp,712628088,517869081,0.7267,0.2518,387485297,0.5437,9.92,0.0337,0.000161,0.000201,0.000111,0.000141,0.167,,,0.00018836,0.00019078,0.00020005,0.00074164,0.00019064,0.0001999,0.009988,0.00013028,0.00013018,0.2538,0.33495,0.288793,160229,1748452,6923,0.00013462,0.0001345232
CD1912.3,mwr_TG0455,American_Museum_Natural_History,CSC_Z_51858,unpublished,cottoni,Pre-bottleneck,NWRpre,M,M,DRC,Faradje,1912,BGIseq-500,Single_end_100_bp,812194932,633417574,0.7799,0.2174,495706137,0.6103,14.79,0.021,0.000199,0.000206,0.000121,0.000126,0.1473,,,0.00021613,0.00021632,0.00021722,0.00081619,0.00021614,0.00021704,0.002639,0.00013523,0.00013512,0.33,0.38796,0.346863,194568,5679274,5317,0.00013433,0.0001342234
CD1911.2,mwr_TG0456,American_Museum_Natural_History,CSC_Z_51855,unpublished,cottoni,Pre-bottleneck,NWRpre,M,M,DRC,Faradje,1911,BGIseq-500,Single_end_100_bp,786298539,181668497,0.231,0.2904,128916424,0.164,3.39,0.0353,0.000046,0.000242,0.000033,0.000175,0.8218,,excluded from Gwhet and Froh comparisons,0.00009134,0.00010829,0.00016431,0.00600659,0.00010764,0.00016332,NA,0.00010636,0.00010573,0.0134,NA,0.011143,194485,479808,41491,NA,NA
CD-un.2,mwr_TG0458,Royal_Museum_of_Central_Africa_Tervuren,CSC_RG3880,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,M,DRC,NA,NA,BGIseq-500,Single_end_100_bp,770376546,605242348,0.7856,0.2401,459929143,0.597,13.09,0.0288,0.000187,0.000202,0.000116,0.000126,0.1399,,,0.00020742,0.00020797,0.00021046,0.00075587,0.00020781,0.0002103,0.001256,0.00012999,0.00012989,0.2551,0.57738,0.312841,165456,2117537,2924,0.0001297,0.000129602
SD1905.1,mwr_TG0460,Powell_Cotton_Museum,40,unpublished,cottoni,Pre-bottleneck,NWRpre,F,F,Sudan,By_Kero_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,796257179,626488519,0.7868,0.2339,479957310,0.6028,16.25,0.0244,0.000186,0.000189,0.00011,0.000112,0.2211,,,0.00020155,0.00020188,0.00020184,0.00080495,0.00020172,0.00020168,0.01298,0.00012193,0.00012184,0.3565,0.44042,0.459523,248191,4947425,4241,0.00011501,0.0001149164
