sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5CtoT_damage,ErTv,relatedness,filters,gw_het_GL1,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,gw_het_GL2_5x_ErTv,Froh63_min10kb,Avg_RoH_len_63min10kb,Max_RoH_len_63min10kb,Froh_100kbmin,avg_roh_len_100kbmin,max_roh_len_100kbmin
ZA1869.1,mwr_TG0449,Natural_History_Museum_Praha,PGU-37572,unpublished,simum,Pre-bottleneck,SWRpre,NA,F,South Africa,NA,1869,BGIseq-500,Single_end_100_bp,760368932,584022087,0.7681,0.2468,439905054,0.5785,11.3,0.0159,0.00103948,,,0.000112,0.00012987,0.00013056,0.00013415,0.00013401,0.244717,286038,4083968,0.228275,406557,4083968
CD-un.1,mwr_TG0450,Royal_Museum_of_Central_Africa_Tervuren,CSC_RG3881,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,M,DRC,Faradje,NA,BGIseq-500,Single_end_100_bp,797010345,159295757,0.1999,0.4067,94504610,0.1186,2.84,0.0284,0.00502398,Related to CD-un.2,excluded from Gwhet and Froh comparisons,0.00005,0.0001253,0.00017182,0.00034522,0.00034349,0.000845,176247,653385,0.000795,248840,653385
CD1912.1,mwr_TG0451,American_Museum_Natural_History,CSC_Z_51861,unpublished,cottoni,Pre-bottleneck,NWRpre,F,F,DRC,Faradje,1912,BGIseq-500,Single_end_100_bp,790975295,337019616,0.4261,0.5166,162912615,0.206,4.85,0.0261,0.00711305,,excluded from Gwhet and Froh comparisons,0.000082,0.00015921,0.00018862,0.00032295,0.00032065,0.026131,137401,566181,0.020770,181348,566181
CD1912.2,mwr_TG0452,American_Museum_Natural_History,CSC_Z_51856,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,F,DRC,Vankerchovenville,1912,BGIseq-500,Single_end_100_bp,789271480,500221011,0.6338,0.5326,233786629,0.2962,7.08,0.0276,0.00666686,,excluded from Froh comparison,0.000122,0.0001936,0.00020383,0.00025049,0.00024882,0.030527,61420.3,296500,0.009795,132281,296500
CD1911.1,mwr_TG0453,American_Museum_Natural_History,CSC_Z_51879_51897,unpublished,cottoni,Pre-bottleneck,NWRpre,F,M,DRC,Faradje,1911,BGIseq-500,Single_end_100_bp,734666100,629072425,0.8563,0.2316,483360897,0.6579,16.98,0.02,0.00063365,,,0.000193,0.00020754,0.00020781,0.00020857,0.00020844,0.42649,214407,5463958,0.375226,441331,5463958
CD1913.1,mwr_TG0454,American_Museum_Natural_History,CSC_Z_51860,unpublished,cottoni,Pre-bottleneck,NWRpre,M,M,DRC,Faradje,1913,BGIseq-500,Single_end_100_bp,712628088,517869081,0.7267,0.2518,387485297,0.5437,9.92,0.0337,0.00074164,,,0.000161,0.00018836,0.00019078,0.00020005,0.0001999,0.294803,155931,2475904,0.243379,284474,2475904
CD1912.3,mwr_TG0455,American_Museum_Natural_History,CSC_Z_51858,unpublished,cottoni,Pre-bottleneck,NWRpre,M,M,DRC,Faradje,1912,BGIseq-500,Single_end_100_bp,812194932,633417574,0.7799,0.2174,495706137,0.6103,14.79,0.021,0.00081619,,,0.000199,0.00021613,0.00021632,0.00021722,0.00021704,0.369444,194752,5679274,0.318657,390453,5679274
CD1911.2,mwr_TG0456,American_Museum_Natural_History,CSC_Z_51855,unpublished,cottoni,Pre-bottleneck,NWRpre,M,M,DRC,Faradje,1911,BGIseq-500,Single_end_100_bp,786298539,181668497,0.231,0.2904,128916424,0.164,3.39,0.0353,0.00600659,,excluded from Gwhet and Froh comparisons,0.000046,0.00009134,0.00010829,0.00016431,0.00016332,0.015367,163899,941690,0.013125,216129,941690
CD-un.2,mwr_TG0458,Royal_Museum_of_Central_Africa_Tervuren,CSC_RG3880,unpublished,cottoni,Pre-bottleneck,NWRpre,NA,M,DRC,NA,NA,BGIseq-500,Single_end_100_bp,770376546,605242348,0.7856,0.2401,459929143,0.597,13.09,0.0288,0.00075587,,,0.000187,0.00020742,0.00020797,0.00021046,0.0002103,0.345272,169936,2626799,0.292192,335882,2626799
SS1905.1,mwr_TG0460,Powell_Cotton_Museum,40,unpublished,cottoni,Pre-bottleneck,NWRpre,F,F,South Sudan,By_Kero_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,796257179,626488519,0.7868,0.2339,479957310,0.6028,16.25,0.0244,0.00080495,,,0.000186,0.00020155,0.00020188,0.00020184,0.00020168,0.43092,219813,4947425,0.380252,445568,4947425
