new_ID,Sample_name,Lab_ID,Voucher,Sex,Sex_inferred_from_depth_of_sex_chromosomes,Country,Locality,date,H/M,Pre/Post-bottleneck,Source,Reference,AfRSG_subsp.,seq_reads_se,seq_retained_reads,hits_raw,hits_raw_frac,hits_clonality,hits_unique,hits_unique_frac,hits_coverage,relatedness,time_window,comments,5’CtoT_damage,uncorrected_gw_het,corrected_gw_het,uncorrected_exon_het,corrected_exon_het,FRoH
ZA1869.1,mwr_TG0449,229,PGU-37572,NA,F,South_Africa,NA,1869,H,Pre-bottleneck,Natural_History_Museum_Praha,NA,simum,789275628,760368932,584022087,76.81%,24.68%,439905054,57.85%,11.30,NA,SWR1,,0.0158502258,0.000112,0.000130,0.000077,0.000091,0.2555
CD-un.1,mwr_TG0450,238,CSC_RG3881,NA,M,DRC,Faradje,NA,H,Pre-bottleneck,Royal_Museum_of_Central_Africa_Tervuren,NA,cottoni,800154635,797010345,159295757,19.99%,40.67%,94504610,11.86%,2.84,to_TG0458,NWR1,outlier_FrohAngsd,0.0283660185,0.000050,0.000455,0.000036,0.000309,0.8814
CD1912.1,mwr_TG0451,252,CSC_Z_51861,F,F,DRC,Faradje,1912,H,Pre-bottleneck,AMNH,NA,cottoni,800088508,790975295,337019616,42.61%,51.66%,162912615,20.60%,4.85,NA,NWR1,,0.0260769502,0.000082,0.000218,0.000036,0.000099,0.3463
CD1912.2,mwr_TG0452,256,CSC_Z_51856,NA,F,DRC,Vankerchovenville,1912,H,Pre-bottleneck,AMNH,NA,cottoni,799573541,789271480,500221011,63.38%,53.26%,233786629,29.62%,7.08,NA,NWR1,,0.0276159204,0.000122,0.000202,0.000065,0.000110,0.1222
CD1911.1,mwr_TG0453,257,CSC_Z_51879_51897,F,M,DRC,Faradje,1911,H,Pre-bottleneck,AMNH,NA,cottoni,786186039,734666100,629072425,85.63%,23.16%,483360897,65.79%,16.98,NA,NWR1,,0.0200104748,0.000193,0.000195,0.000121,0.000122,0.2148
CD1913.1,mwr_TG0454,251,CSC_Z_51860,M,M,DRC,Faradje,1913,H,Pre-bottleneck,AMNH,NA,cottoni,843713860,712628088,517869081,72.67%,25.18%,387485297,54.37%,9.92,NA,NWR1,,0.0336787565,0.000161,0.000201,0.000111,0.000141,0.1670
CD1912.3,mwr_TG0455,253,CSC_Z_51858,M,M,DRC,Faradje,1912,H,Pre-bottleneck,AMNH,NA,cottoni,836588770,812194932,633417574,77.99%,21.74%,495706137,61.03%,14.79,NA,NWR1,,0.0210034782,0.000199,0.000206,0.000121,0.000126,0.1473
CD1911.2,mwr_TG0456,255,CSC_Z_51855,M,M,DRC,Faradje,1911,H,Pre-bottleneck,AMNH,NA,cottoni,807091135,786298539,181668497,23.10%,29.04%,128916424,16.40%,3.39,NA,NWR1,outlier_FrohAngsd,0.0353059597,0.000046,0.000242,0.000033,0.000175,0.8218
CD-un.2,mwr_TG0458,239,CSC_RG3880,NA,M,DRC,NA,NA,H,Pre-bottleneck,Royal_Museum_of_Central_Africa_Tervuren,NA,cottoni,833522334,770376546,605242348,78.56%,24.01%,459929143,59.70%,13.09,to_TG0450,NWR1,,0.0287794206,0.000187,0.000202,0.000116,0.000126,0.1399
SD1905.1,mwr_TG0460,243,40,F,F,Sudan,By_Kero_Lado_Enclave,1905,H,Pre-bottleneck,Powell_Cotton_Museum,NA,cottoni,801982097,796257179,626488519,78.68%,23.39%,479957310,60.28%,16.25,NA,NWR1,,0.0244273891,0.000186,0.000189,0.000110,0.000112,0.2211
SD1905.2,mwr_TG0461,244,34,M,M,Sudan,By_Kero_Lado_Enclave,1905,H,Pre-bottleneck,Powell_Cotton_Museum,NA,cottoni,786148464,784968111,667248843,85.00%,63.16%,245806682,31.31%,7.42,NA,NWR1,,0.0601153748,0.000119,0.000189,0.000058,0.000094,0.2460
UG1905.1,mwr_TG0462,245,124,M,M,Uganda,Ouneri_Nr_Wadelai_Lado_Enclave,1905,H,Pre-bottleneck,Powell_Cotton_Museum,NA,cottoni,732790584,731749543,592900574,81.03%,33.35%,395164915,54.00%,13.83,NA,NWR1,,0.0317286468,0.000172,0.000183,0.000093,0.000099,0.2378
SD1905.3,mwr_TG0463,246,20,M,Non_discernable,Sudan,Fariala_Lado_Enclave,1905,H,Pre-bottleneck,Powell_Cotton_Museum,NA,cottoni,773189493,772010465,620352748,80.36%,24.12%,470709226,60.97%,16.82,NA,NWR1,,0.0229851157,0.000192,0.000195,0.000098,0.000099,0.1817
SD1905.4,mwr_TG0465,250,18,F,F,Sudan,Fariala_Lado_Enclave,1905,H,Pre-bottleneck,Powell_Cotton_Museum,NA,cottoni,779806140,764697017,648541455,84.81%,23.42%,496655103,64.95%,17.13,NA,NWR1,,0.017105756,0.000199,0.000201,0.000116,0.000117,0.1667
