new_ID,sample_name,AfRSG_subsp.,voucher,source,reference,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,seq_retained_reads,hits_raw,hits_raw_frac,hits_clonality,hits_unique,hits_unique_frac,hits_coverage,5’CtoT_damage,uncorrected_gw_het,corrected_gw_het,uncorrected_exon_het,corrected_exon_het,FRoH,comments
ZA1869.1,mwr_TG0449,simum,PGU-37572,Natural_History_Museum_Praha,unpublished,Pre-bottleneck,SWR1,NA,F,South Africa,NA,1869,BGIseq-500,Single_end_100_bp,760368932,584022087,0.7681,0.2468,439905054,0.5785,11.3,0.0159,0.00011202,0.00012980,0.00007735,0.00009081,0.2555,
CD-un.1,mwr_TG0450,cottoni,CSC_RG3881,Royal_Museum_of_Central_Africa_Tervuren,unpublished,Pre-bottleneck,NWR1,NA,M,DRC,Faradje,NA,BGIseq-500,Single_end_100_bp,797010345,159295757,0.1999,0.4067,94504610,0.1186,2.84,0.0284,0.00004954,0.00045484,0.00003588,0.00030942,0.8814,related_CD-un.2_outlier_FrohAngsd
CD1912.1,mwr_TG0451,cottoni,CSC_Z_51861,AMNH,unpublished,Pre-bottleneck,NWR1,F,F,DRC,Faradje,1912,BGIseq-500,Single_end_100_bp,790975295,337019616,0.4261,0.5166,162912615,0.206,4.85,0.0261,0.00008179,0.00021760,0.00003649,0.00009853,0.3463,
CD1912.2,mwr_TG0452,cottoni,CSC_Z_51856,AMNH,unpublished,Pre-bottleneck,NWR1,NA,F,DRC,Vankerchovenville,1912,BGIseq-500,Single_end_100_bp,789271480,500221011,0.6338,0.5326,233786629,0.2962,7.08,0.0276,0.00012151,0.00020210,0.00006475,0.00010997,0.1222,
CD1911.1,mwr_TG0453,cottoni,CSC_Z_51879_51897,AMNH,unpublished,Pre-bottleneck,NWR1,F,M,DRC,Faradje,1911,BGIseq-500,Single_end_100_bp,734666100,629072425,0.8563,0.2316,483360897,0.6579,16.98,0.02,0.00019336,0.00019511,0.00012093,0.00012195,0.2148,
CD1913.1,mwr_TG0454,cottoni,CSC_Z_51860,AMNH,unpublished,Pre-bottleneck,NWR1,M,M,DRC,Faradje,1913,BGIseq-500,Single_end_100_bp,712628088,517869081,0.7267,0.2518,387485297,0.5437,9.92,0.0337,0.00016066,0.00020140,0.00011087,0.00014130,0.1670,
CD1912.3,mwr_TG0455,cottoni,CSC_Z_51858,AMNH,unpublished,Pre-bottleneck,NWR1,M,M,DRC,Faradje,1912,BGIseq-500,Single_end_100_bp,812194932,633417574,0.7799,0.2174,495706137,0.6103,14.79,0.021,0.00019858,0.00020639,0.00012059,0.00012582,0.1473,
CD1911.2,mwr_TG0456,cottoni,CSC_Z_51855,AMNH,unpublished,Pre-bottleneck,NWR1,M,M,DRC,Faradje,1911,BGIseq-500,Single_end_100_bp,786298539,181668497,0.231,0.2904,128916424,0.164,3.39,0.0353,0.00004561,0.00024201,0.00003350,0.00017503,0.8218,outlier_FrohAngsd
CD-un.2,mwr_TG0458,cottoni,CSC_RG3880,Royal_Museum_of_Central_Africa_Tervuren,unpublished,Pre-bottleneck,NWR1,NA,M,DRC,NA,NA,BGIseq-500,Single_end_100_bp,770376546,605242348,0.7856,0.2401,459929143,0.597,13.09,0.0288,0.00018681,0.00020217,0.00011565,0.00012620,0.1399,
SD1905.1,mwr_TG0460,cottoni,40,Powell_Cotton_Museum,unpublished,Pre-bottleneck,NWR1,F,F,Sudan,By_Kero_Lado_Enclave,1905,BGIseq-500,Single_end_100_bp,796257179,626488519,0.7868,0.2339,479957310,0.6028,16.25,0.0244,0.00018574,0.00018889,0.00011038,0.00011233,0.2211,
