mwr_TG0458	CD-un.2
mwr_TG0451	CD1912.1
mwr_TG0453	CD1911.1
mwr_TG0454	CD1913.1
mwr_TG0456	CD1911.2
mwr_TG0455	CD1912.3
mwr_TG0452	CD1912.2
mwr_TGF14	SD1914.1
mwr_TG0460	SD1905.1
mwr_TG0461	SD1905.2
mwr_TG0463	SD1905.3
mwr_TG0465	SD1905.4
mwr_TGF16	SD1905.5
mwr_TG0462	UG1905.1
mwr_TGF15	UG1905.2
wr_SRR5852741	SD1972.1
wr_SRR5852742	SD1973.1
wr_SRR5852744	SD1972.2
wr_SRR5852746	SD1972.3
wr_SRR5852747	SD1963.1
wr_SRR5852749	SD1972.4
wr_SRR5852743	SS1954.1
wr_SRR5852745	SD1974.1
wr_SRR5852748	UG1965.1
mwr_TGF05	NA1856.1
mwr_TGF06	NA1845.1
mwr_TGF07	NA1857.1
mwr_TGF03	ZA-un.1
mwr_TGF01	ZA1845.1
mwr_TG0449	ZA1869.1
mwr_TGF04	ZA1845.1
mwr_TGF10	ZA1995.1
mwr_TGF12	ZA2010.1
mwr_TGF13	un2004.1
mwr_TGF17	ZA1976.1
wr_SRR5852738	ZA1958.1
wr_SRR5852739	ZA1963.1
wr_SRR5852740	ZA1963.2
wr_SRR5852750	ZA1961.1
mwr_TGF11	ZA2009.1
wr_P9109_108	ZA2012.1
wr_P9109_109	ZA1968.1
wr_P9109_110	ZA1969.1
wr_P9109_104	cap2008.1
wr_P9109_102	cap2009.1
wr_P9109_103	cap2010.1
wr_P9109_105	cap2011.1
wr_P9109_106	cap2011.2
wr_P9109_107	cap2011.3
